EnrollmentID,EnrollDate,QuizScore,EmployeeID,CourseID
1,2021-11-02,93.69,2,17
2,2024-04-25,17.23,477,32
3,2020-01-01,99.06,182,79
4,2021-08-24,,932,68
5,2022-11-05,10.67,147,70
6,2023-06-04,45.26,384,41
7,2021-10-24,15.58,384,89
8,2023-07-15,98.28,742,97
9,2020-12-12,,759,51
10,2020-04-11,47.82,439,89
11,2022-10-16,15.39,713,81
12,2020-12-03,,656,79
13,2024-05-12,28.57,238,62
14,2023-10-13,5.2,365,36
15,2022-06-10,96.42,118,25
16,2023-09-17,68.47,932,88
17,2023-12-01,92.82,62,24
18,2023-04-21,65.2,826,43
19,2020-08-27,,683,9
20,2023-08-24,28.82,480,29
21,2020-12-21,45.57,888,19
22,2021-09-03,8.4,80,100
23,2024-09-09,17.76,604,99
24,2022-07-02,14.81,433,22
25,2021-04-05,46.45,447,69
26,2022-03-19,51.44,627,32
27,2023-02-09,32.62,351,19
28,2021-07-11,93.16,926,64
29,2021-09-08,33.14,719,74
30,2024-09-09,,259,21
31,2020-03-04,85.86,546,9
32,2021-08-29,87.08,295,38
33,2024-07-29,65.31,971,12
34,2022-06-03,75.05,769,48
35,2022-02-12,89.38,854,25
36,2023-03-16,47.29,838,91
37,2023-09-14,22.17,677,3
38,2023-07-22,55.92,765,84
39,2024-08-04,64.54,426,33
40,2022-02-10,,769,21
41,2022-05-25,86.09,555,34
42,2023-10-21,,327,8
43,2023-12-23,23.25,958,6
44,2022-12-24,89.86,318,36
45,2020-11-19,,716,34
46,2020-01-25,51.81,785,91
47,2022-12-13,60.66,658,84
48,2024-08-14,17.76,200,81
49,2024-03-21,,985,68
50,2022-07-03,33.84,847,26
51,2021-10-17,71.84,464,39
52,2022-05-21,93.97,485,94
53,2022-08-06,63.41,203,82
54,2022-02-01,66.91,56,99
55,2022-12-30,55.78,246,77
56,2021-04-03,66.63,938,14
57,2021-10-23,11.28,468,26
58,2022-04-12,40.37,821,80
59,2020-01-21,1.64,604,71
60,2020-09-18,61.28,437,30
61,2022-08-20,48.39,371,30
62,2024-02-21,8.09,440,8
63,2020-09-21,87.78,344,48
64,2020-07-08,33.39,758,13
65,2024-03-14,,703,64
66,2023-09-16,60.99,709,21
67,2021-11-20,,520,55
68,2021-09-20,,718,84
69,2022-06-02,,944,80
70,2020-12-01,48.79,299,6
71,2021-02-26,31.55,278,54
72,2022-04-18,,740,96
73,2024-02-09,86.59,853,5
74,2024-09-12,,875,51
75,2021-06-23,23.63,589,82
76,2023-11-22,42.05,616,70
77,2021-09-12,25.72,543,74
78,2024-02-16,75.15,137,78
79,2023-02-27,40.56,684,20
80,2022-12-21,52.43,928,7
81,2022-07-13,,776,10
82,2023-08-24,,393,30
83,2023-06-25,35.19,172,92
84,2024-02-24,87.72,86,82
85,2023-11-14,66.88,524,49
86,2023-06-24,,798,75
87,2024-07-31,62.04,864,53
88,2024-01-03,45.94,606,22
89,2021-04-21,93.47,908,30
90,2023-09-21,68.17,487,83
91,2020-07-18,40.06,732,73
92,2023-06-07,56.8,929,80
93,2021-09-07,80.36,322,78
94,2023-12-22,,396,41
95,2022-07-16,56.93,977,51
96,2023-10-06,,426,72
97,2021-01-04,81.15,173,13
98,2022-10-18,38.81,903,47
99,2020-09-04,46.64,8,13
100,2022-08-31,13.48,695,72
101,2021-05-07,25.93,674,96
102,2022-10-22,92.62,232,97
103,2022-03-28,37.98,595,8
104,2021-12-25,32.3,651,90
105,2022-07-12,,546,17
106,2020-01-23,88.04,584,83
107,2022-02-06,85.66,596,72
108,2023-11-13,49.29,54,86
109,2020-09-07,,259,27
110,2020-01-06,,42,25
111,2023-06-14,99.86,421,94
112,2022-03-02,67.09,383,3
113,2020-06-25,6.99,634,82
114,2022-03-04,,181,6
115,2020-08-29,12.1,55,74
116,2022-04-16,43.5,940,91
117,2024-07-06,0.5,384,93
118,2021-04-29,58.1,649,74
119,2021-02-03,,862,65
120,2022-09-13,68.71,650,53
121,2024-08-02,,668,16
122,2023-08-11,48.87,754,17
